"Municipality","Year","Air Quality Health Index","Health Risk","OriginalValue"
"St. Paul County No. 19",2015,"3","High Quality",0.21297
"Wood Buffalo",2015,"3","High Quality",0.10343
"Bruderheim",2015,"3","High Quality",0.22656
"Improvement District No. 13 Elk Island",2015,"3","High Quality",0.15491
"Leduc County",2015,"3","High Quality",0.06143
"Beaverlodge",2015,"3","High Quality",0.13909
"Lamont County",2015,"3","High Quality",0.33258
"Yellowhead County",2015,"3","High Quality",0.21956
"Red Deer",2015,"4","Moderate Quality",0.02809
"Fort Saskatchewan",2015,"4","Moderate Quality",0.06196
"Edmonton",2015,"4","Moderate Quality",0.10835
"Lethbridge",2015,"4","Moderate Quality",0.04216
"Caroline",2015,"4","Moderate Quality",0.01687
"Medicine Hat",2015,"4","Moderate Quality",0.03017
"Calgary",2015,"4","Moderate Quality",0.04818
"Grande Prairie",2015,"4","Moderate Quality",0.05624
"Parkland County",2015,"4","Moderate Quality",0.01444
"Strathcona County",2015,"4","Moderate Quality",0.04165
"Fort Mackay",2015,"4","Moderate Quality",0.01891
"Grande Prairie County No. 1",2015,"4","Moderate Quality",0.04554
"Cold Lake",2015,"4","Moderate Quality",0.01566
"St. Paul County No. 19",2015,"4","Moderate Quality",0.02126
"Wood Buffalo",2015,"4","Moderate Quality",0.00891
"Bruderheim",2015,"4","Moderate Quality",0.04052
"Improvement District No. 13 Elk Island",2015,"4","Moderate Quality",0.01732
"Leduc County",2015,"4","Moderate Quality",0.00787
"Beaverlodge",2015,"4","Moderate Quality",0.01442
"Lamont County",2015,"4","Moderate Quality",0.04705
"Yellowhead County",2015,"4","Moderate Quality",0.02766
"Red Deer",2015,"5","Moderate Quality",0.00263
"Fort Saskatchewan",2015,"5","Moderate Quality",0.01203
"Edmonton",2015,"5","Moderate Quality",0.01667
"Lethbridge",2015,"5","Moderate Quality",0.00584
"Caroline",2015,"5","Moderate Quality",0.00214
"Medicine Hat",2015,"5","Moderate Quality",0.00683
"Calgary",2015,"5","Moderate Quality",0.00651
"Grande Prairie",2015,"5","Moderate Quality",0.01204
"Parkland County",2015,"5","Moderate Quality",0.00127
"Strathcona County",2015,"5","Moderate Quality",0.00666
"Fort Mackay",2015,"5","Moderate Quality",0.00338
"Grande Prairie County No. 1",2015,"5","Moderate Quality",0.00855
"Cold Lake",2015,"5","Moderate Quality",0.00376
"St. Paul County No. 19",2015,"5","Moderate Quality",0.00228
"Wood Buffalo",2015,"5","Moderate Quality",0.00265
"Bruderheim",2015,"5","Moderate Quality",0.00654
"Improvement District No. 13 Elk Island",2015,"5","Moderate Quality",0.00304
"Leduc County",2015,"5","Moderate Quality",0.00058
"Beaverlodge",2015,"5","Moderate Quality",0.00203
"Lamont County",2015,"5","Moderate Quality",0.0112
"Yellowhead County",2015,"5","Moderate Quality",0.00659
"Red Deer",2015,"6","Moderate Quality",0.00034
"Fort Saskatchewan",2015,"6","Moderate Quality",0.00269
"Edmonton",2015,"6","Moderate Quality",8e-04
"Lethbridge",2015,"6","Moderate Quality",0.00292
"Caroline",2015,"6","Moderate Quality",0.00036
"Medicine Hat",2015,"6","Moderate Quality",0.00387
"Calgary",2015,"6","Moderate Quality",8e-04
"Grande Prairie",2015,"6","Moderate Quality",0.00185
"Parkland County",2015,"6","Moderate Quality",0.00012
"Strathcona County",2015,"6","Moderate Quality",0.00085
"Fort Mackay",2015,"6","Moderate Quality",0.00101
"Grande Prairie County No. 1",2015,"6","Moderate Quality",0.00159
"Cold Lake",2015,"6","Moderate Quality",0.00097
"St. Paul County No. 19",2015,"6","Moderate Quality",0.00129
"Wood Buffalo",2015,"6","Moderate Quality",0.00109
"Bruderheim",2015,"6","Moderate Quality",0.00152
"Improvement District No. 13 Elk Island",2015,"6","Moderate Quality",0.00035
"Leduc County",2015,"6","Moderate Quality",0.00046
"Lamont County",2015,"6","Moderate Quality",0.00226
"Yellowhead County",2015,"6","Moderate Quality",0.00089
"Red Deer",2015,"7","Low Quality",0.00274
"Fort Saskatchewan",2015,"7","Low Quality",0.00154
"Edmonton",2015,"7","Low Quality",0.00194
"Lethbridge",2015,"7","Low Quality",0.00394
"Caroline",2015,"7","Low Quality",0.00036
"Medicine Hat",2015,"7","Low Quality",0.00541
"Calgary",2015,"7","Low Quality",0.00228
"Grande Prairie",2015,"7","Low Quality",0.00081
"Parkland County",2015,"7","Low Quality",0.00069
"Strathcona County",2015,"7","Low Quality",0.00358
"Fort Mackay",2015,"7","Low Quality",0.00202
"Grande Prairie County No. 1",2015,"7","Low Quality",0.00066
"Cold Lake",2015,"7","Low Quality",0.00134
"St. Paul County No. 19",2015,"7","Low Quality",0.00203
"Wood Buffalo",2015,"7","Low Quality",0.0035
"Bruderheim",2015,"7","Low Quality",0.00152
"Improvement District No. 13 Elk Island",2015,"7","Low Quality",0.00047
"Leduc County",2015,"7","Low Quality",0.00116
"Beaverlodge",2015,"7","Low Quality",0.00036
"Lamont County",2015,"7","Low Quality",0.00155
"Yellowhead County",2015,"7","Low Quality",0.0012
"Red Deer",2015,"8","Low Quality",0.00046
"Fort Saskatchewan",2015,"8","Low Quality",0.00038
"Edmonton",2015,"8","Low Quality",0.00126
"Lethbridge",2015,"8","Low Quality",0.00318
"Caroline",2015,"8","Low Quality",0.00012
"Medicine Hat",2015,"8","Low Quality",0.00103
"Calgary",2015,"8","Low Quality",0.00103
"Grande Prairie",2015,"8","Low Quality",0.00023
"Parkland County",2015,"8","Low Quality",0.00058
"Strathcona County",2015,"8","Low Quality",0.00068
"Fort Mackay",2015,"8","Low Quality",0.00356
"Grande Prairie County No. 1",2015,"8","Low Quality",2e-04
"Cold Lake",2015,"8","Low Quality",0.00158
"St. Paul County No. 19",2015,"8","Low Quality",0.00123
"Wood Buffalo",2015,"8","Low Quality",0.00198
"Bruderheim",2015,"8","Low Quality",0.00058
"Improvement District No. 13 Elk Island",2015,"8","Low Quality",0.00035
"Leduc County",2015,"8","Low Quality",0.00104
"Lamont County",2015,"8","Low Quality",0.00107
"Yellowhead County",2015,"8","Low Quality",0.00015
"Red Deer",2015,"9","Low Quality",0.00023
"Fort Saskatchewan",2015,"9","Low Quality",0.00026
"Edmonton",2015,"9","Low Quality",8e-04
"Lethbridge",2015,"9","Low Quality",0.00127
"Medicine Hat",2015,"9","Low Quality",0.00077
"Calgary",2015,"9","Low Quality",0.00046
"Grande Prairie",2015,"9","Low Quality",0.00023
"Parkland County",2015,"9","Low Quality",0.00023
"Strathcona County",2015,"9","Low Quality",0.00085
"Fort Mackay",2015,"9","Low Quality",0.00136
"Grande Prairie County No. 1",2015,"9","Low Quality",0.00013
"Cold Lake",2015,"9","Low Quality",0.00134
"St. Paul County No. 19",2015,"9","Low Quality",0.00074
"Wood Buffalo",2015,"9","Low Quality",0.00187
"Bruderheim",2015,"9","Low Quality",0.00058
"Improvement District No. 13 Elk Island",2015,"9","Low Quality",0.00035
"Leduc County",2015,"9","Low Quality",0.00058
"Lamont County",2015,"9","Low Quality",0.00012
"Yellowhead County",2015,"9","Low Quality",0.00035
"Red Deer",2016,"1","High Quality",0.27628
"Fort Saskatchewan",2016,"1","High Quality",0.17925
"Edmonton",2016,"1","High Quality",0.06558
"Lethbridge",2016,"1","High Quality",0.09376
"Caroline",2016,"1","High Quality",0.21962
"Medicine Hat",2016,"1","High Quality",0.13899
"Calgary",2016,"1","High Quality",0.1126
"Spirit River No. 133",2016,"1","High Quality",0.45633
"Grande Prairie",2016,"1","High Quality",0.19889
"Parkland County",2016,"1","High Quality",0.25789
"Strathcona County",2016,"1","High Quality",0.17454
"Sturgeon County",2016,"1","High Quality",0.24368
"St. Albert",2016,"1","High Quality",0.19367
"Fort Mackay",2016,"1","High Quality",0.32991
"Grande Prairie County No. 1",2016,"1","High Quality",0.19889
"Cold Lake",2016,"1","High Quality",0.33688
"Bonnyville No. 87",2016,"1","High Quality",0.33431
"St. Paul County No. 19",2016,"1","High Quality",0.22549
"Wood Buffalo",2016,"1","High Quality",0.24046
"Bruderheim",2016,"1","High Quality",0.37811
"Improvement District No. 13 Elk Island",2016,"1","High Quality",0.29749
"Leduc County",2016,"1","High Quality",0.61105
"Beaverlodge",2016,"1","High Quality",0.26676
"Lamont County",2016,"1","High Quality",0.18541
"Yellowhead County",2016,"1","High Quality",0.30345
"Fort Saskatchewan",2016,"10+","Very Low Quality",0.00038
"Edmonton",2016,"10+","Very Low Quality",0.00057
"Sturgeon County",2016,"10+","Very Low Quality",0.00026
"St. Albert",2016,"10+","Very Low Quality",0.00049
"Fort Mackay",2016,"10+","Very Low Quality",0.00572
"Cold Lake",2016,"10+","Very Low Quality",6e-04
"Wood Buffalo",2016,"10+","Very Low Quality",0.00735
"Yellowhead County",2016,"10+","Very Low Quality",4e-05
"Red Deer",2016,"2","High Quality",0.56134
"Fort Saskatchewan",2016,"2","High Quality",0.54389
"Edmonton",2016,"2","High Quality",0.49471
"Lethbridge",2016,"2","High Quality",0.66675
"Caroline",2016,"2","High Quality",0.63469
"Medicine Hat",2016,"2","High Quality",0.67962
"Calgary",2016,"2","High Quality",0.47205
"Spirit River No. 133",2016,"2","High Quality",0.48325
"Grande Prairie",2016,"2","High Quality",0.55787
"Parkland County",2016,"2","High Quality",0.6188
"Strathcona County",2016,"2","High Quality",0.54446
"Sturgeon County",2016,"2","High Quality",0.58479
"St. Albert",2016,"2","High Quality",0.53859
"Fort Mackay",2016,"2","High Quality",0.50684
"Grande Prairie County No. 1",2016,"2","High Quality",0.55787
"Cold Lake",2016,"2","High Quality",0.51227
"Bonnyville No. 87",2016,"2","High Quality",0.5934
"St. Paul County No. 19",2016,"2","High Quality",0.64897
"Wood Buffalo",2016,"2","High Quality",0.62676
"Bruderheim",2016,"2","High Quality",0.50593
"Improvement District No. 13 Elk Island",2016,"2","High Quality",0.55671
"Leduc County",2016,"2","High Quality",0.3447
"Beaverlodge",2016,"2","High Quality",0.62834
"Lamont County",2016,"2","High Quality",0.59111
"Yellowhead County",2016,"2","High Quality",0.53049
"Red Deer",2016,"3","High Quality",0.14938
"Fort Saskatchewan",2016,"3","High Quality",0.21643
"Edmonton",2016,"3","High Quality",0.34476
"Lethbridge",2016,"3","High Quality",0.22726
"Caroline",2016,"3","High Quality",0.13367
"Medicine Hat",2016,"3","High Quality",0.17633
"Calgary",2016,"3","High Quality",0.35204
"Spirit River No. 133",2016,"3","High Quality",0.05524
"Grande Prairie",2016,"3","High Quality",0.20269
"Parkland County",2016,"3","High Quality",0.11128
"Strathcona County",2016,"3","High Quality",0.25732
"Sturgeon County",2016,"3","High Quality",0.15468
"St. Albert",2016,"3","High Quality",0.2157
"Fort Mackay",2016,"3","High Quality",0.13895
"Grande Prairie County No. 1",2016,"3","High Quality",0.20269
"Cold Lake",2016,"3","High Quality",0.13636
"Bonnyville No. 87",2016,"3","High Quality",0.06895
"St. Paul County No. 19",2016,"3","High Quality",0.11473
"Wood Buffalo",2016,"3","High Quality",0.10654
"Bruderheim",2016,"3","High Quality",0.10004
"Improvement District No. 13 Elk Island",2016,"3","High Quality",0.13226
"Leduc County",2016,"3","High Quality",0.03966
"Beaverlodge",2016,"3","High Quality",0.10033
"Lamont County",2016,"3","High Quality",0.18965
"Yellowhead County",2016,"3","High Quality",0.15197
"Red Deer",2016,"4","Moderate Quality",0.01255
"Fort Saskatchewan",2016,"4","Moderate Quality",0.05392
"Edmonton",2016,"4","Moderate Quality",0.08425
"Lethbridge",2016,"4","Moderate Quality",0.01211
"Caroline",2016,"4","Moderate Quality",0.01034
"Medicine Hat",2016,"4","Moderate Quality",0.00506
"Calgary",2016,"4","Moderate Quality",0.05488
"Spirit River No. 133",2016,"4","Moderate Quality",0.00365
"Grande Prairie",2016,"4","Moderate Quality",0.03478
"Parkland County",2016,"4","Moderate Quality",0.01178
"Strathcona County",2016,"4","Moderate Quality",0.02163
"Sturgeon County",2016,"4","Moderate Quality",0.01412
"St. Albert",2016,"4","Moderate Quality",0.04536
"Fort Mackay",2016,"4","Moderate Quality",0.01091
"Grande Prairie County No. 1",2016,"4","Moderate Quality",0.03478
"Cold Lake",2016,"4","Moderate Quality",0.00934
"Bonnyville No. 87",2016,"4","Moderate Quality",0.00293
"St. Paul County No. 19",2016,"4","Moderate Quality",0.01038
"Wood Buffalo",2016,"4","Moderate Quality",0.00959
"Bruderheim",2016,"4","Moderate Quality",0.01147
"Improvement District No. 13 Elk Island",2016,"4","Moderate Quality",0.01354
"Leduc County",2016,"4","Moderate Quality",0.00459
"Beaverlodge",2016,"4","Moderate Quality",0.00422
"Lamont County",2016,"4","Moderate Quality",0.02735
"Yellowhead County",2016,"4","Moderate Quality",0.01196
"Red Deer",2016,"5","Moderate Quality",0.00023
"Fort Saskatchewan",2016,"5","Moderate Quality",0.00537
"Edmonton",2016,"5","Moderate Quality",0.00854
"Lethbridge",2016,"5","Moderate Quality",0.00012
"Caroline",2016,"5","Moderate Quality",0.00144
"Calgary",2016,"5","Moderate Quality",0.00706
"Spirit River No. 133",2016,"5","Moderate Quality",0.00084
"Grande Prairie",2016,"5","Moderate Quality",0.00484
"Parkland County",2016,"5","Moderate Quality",0.00025
"Strathcona County",2016,"5","Moderate Quality",0.00137
"Sturgeon County",2016,"5","Moderate Quality",0.0022
"St. Albert",2016,"5","Moderate Quality",0.00538
"Fort Mackay",2016,"5","Moderate Quality",0.00307
"Grande Prairie County No. 1",2016,"5","Moderate Quality",0.00484
"Cold Lake",2016,"5","Moderate Quality",0.0018
"Bonnyville No. 87",2016,"5","Moderate Quality",0.00021
"St. Paul County No. 19",2016,"5","Moderate Quality",0.00043
"Wood Buffalo",2016,"5","Moderate Quality",0.00204
"Bruderheim",2016,"5","Moderate Quality",0.00255
"Lamont County",2016,"5","Moderate Quality",0.00377
"Yellowhead County",2016,"5","Moderate Quality",0.00117
"Fort Saskatchewan",2016,"6","Moderate Quality",0.00038
"Edmonton",2016,"6","Moderate Quality",0.00011
"Caroline",2016,"6","Moderate Quality",0.00012
"Calgary",2016,"6","Moderate Quality",0.00046
"Grande Prairie",2016,"6","Moderate Quality",0.00081
"Strathcona County",2016,"6","Moderate Quality",0.00011
"St. Albert",2016,"6","Moderate Quality",0.00065
"Fort Mackay",2016,"6","Moderate Quality",0.00088
"Grande Prairie County No. 1",2016,"6","Moderate Quality",0.00081
"Cold Lake",2016,"6","Moderate Quality",0.00048
"Wood Buffalo",2016,"6","Moderate Quality",0.00106
"Bruderheim",2016,"6","Moderate Quality",0.00115
"Beaverlodge",2016,"6","Moderate Quality",0.00012
"Lamont County",2016,"6","Moderate Quality",0.00071
"Yellowhead County",2016,"6","Moderate Quality",3e-04
"Red Deer",2016,"7","Low Quality",0.00023
"Fort Saskatchewan",2016,"7","Low Quality",0.00038
"Edmonton",2016,"7","Low Quality",0.00102
"Caroline",2016,"7","Low Quality",0.00012
"Calgary",2016,"7","Low Quality",8e-04
"Spirit River No. 133",2016,"7","Low Quality",0.00056
"Grande Prairie",2016,"7","Low Quality",0.00012
"Strathcona County",2016,"7","Low Quality",0.00046
"Sturgeon County",2016,"7","Low Quality",0.00013
"Fort Mackay",2016,"7","Low Quality",0.00177
"Grande Prairie County No. 1",2016,"7","Low Quality",0.00012
"Cold Lake",2016,"7","Low Quality",0.00156
"Bonnyville No. 87",2016,"7","Low Quality",0.00021
"Wood Buffalo",2016,"7","Low Quality",0.00325
"Bruderheim",2016,"7","Low Quality",0.00051
"Beaverlodge",2016,"7","Low Quality",0.00012
"Lamont County",2016,"7","Low Quality",0.00189
"Yellowhead County",2016,"7","Low Quality",0.00048
"Edmonton",2016,"8","Low Quality",0.00034
"Calgary",2016,"8","Low Quality",0.00011
"Spirit River No. 133",2016,"8","Low Quality",0.00014
"Strathcona County",2016,"8","Low Quality",0.00011
"St. Albert",2016,"8","Low Quality",0.00016
"Fort Mackay",2016,"8","Low Quality",0.00106
"Cold Lake",2016,"8","Low Quality",0.00012
"Wood Buffalo",2016,"8","Low Quality",0.00171
"Bruderheim",2016,"8","Low Quality",0.00025
"Lamont County",2016,"8","Low Quality",0.00012
"Yellowhead County",2016,"8","Low Quality",0.00013
"Edmonton",2016,"9","Low Quality",0.00011
"Sturgeon County",2016,"9","Low Quality",0.00013
"Fort Mackay",2016,"9","Low Quality",0.00088
"Cold Lake",2016,"9","Low Quality",6e-04
"Wood Buffalo",2016,"9","Low Quality",0.00123
"Beaverlodge",2016,"9","Low Quality",0.00012
"Red Deer",2017,"1","High Quality",0.08319
"Fort Saskatchewan",2017,"1","High Quality",0.0918
"Edmonton",2017,"1","High Quality",0.03128
"Lethbridge",2017,"1","High Quality",0.03548
"Caroline",2017,"1","High Quality",0.05654
"Airdrie",2017,"1","High Quality",0.09214
"Medicine Hat",2017,"1","High Quality",0.05412
"Calgary",2017,"1","High Quality",0.0145
"Spirit River No. 133",2017,"1","High Quality",0.2119
"Grande Prairie",2017,"1","High Quality",0.07503
"Parkland County",2017,"1","High Quality",0.18031
"Strathcona County",2017,"1","High Quality",0.07176
"Sturgeon County",2017,"1","High Quality",0.10916
"St. Albert",2017,"1","High Quality",0.08525
"Fort Mackay",2017,"1","High Quality",0.3064
"Grande Prairie County No. 1",2017,"1","High Quality",0.07503
"Cold Lake",2017,"1","High Quality",0.22618
"Bonnyville No. 87",2017,"1","High Quality",0.0667
"St. Paul County No. 19",2017,"1","High Quality",0.18302
"Wood Buffalo",2017,"1","High Quality",0.1823
"Bruderheim",2017,"1","High Quality",0.21117
"Improvement District No. 13 Elk Island",2017,"1","High Quality",0.16016
"Leduc County",2017,"1","High Quality",0.43541
"Beaverlodge",2017,"1","High Quality",0.14027
"Lamont County",2017,"1","High Quality",0.1085
"Yellowhead County",2017,"1","High Quality",0.21374
"Red Deer",2017,"10+","Very Low Quality",8e-04
"Edmonton",2017,"10+","Very Low Quality",0.00034
"Lethbridge",2017,"10+","Very Low Quality",0.00176
"Airdrie",2017,"10+","Very Low Quality",0.00064
"Medicine Hat",2017,"10+","Very Low Quality",0.00012
"Calgary",2017,"10+","Very Low Quality",0.00034
"Spirit River No. 133",2017,"10+","Very Low Quality",0.00056
"Grande Prairie",2017,"10+","Very Low Quality",0.00116
"Parkland County",2017,"10+","Very Low Quality",0.00058
"Strathcona County",2017,"10+","Very Low Quality",0.00034
"Sturgeon County",2017,"10+","Very Low Quality",0.00071
"St. Albert",2017,"10+","Very Low Quality",0.00012
"Fort Mackay",2017,"10+","Very Low Quality",0.00372
"Grande Prairie County No. 1",2017,"10+","Very Low Quality",0.00116
"Cold Lake",2017,"10+","Very Low Quality",6e-04
"Wood Buffalo",2017,"10+","Very Low Quality",6e-05
"Improvement District No. 13 Elk Island",2017,"10+","Very Low Quality",6e-04
"Leduc County",2017,"10+","Very Low Quality",0.00046
"Beaverlodge",2017,"10+","Very Low Quality",0.00128
"Yellowhead County",2017,"10+","Very Low Quality",0.00067
"Red Deer",2017,"2","High Quality",0.61936
"Fort Saskatchewan",2017,"2","High Quality",0.53709
"Edmonton",2017,"2","High Quality",0.40438
"Lethbridge",2017,"2","High Quality",0.58255
"Caroline",2017,"2","High Quality",0.67712
"Airdrie",2017,"2","High Quality",0.57748
"Medicine Hat",2017,"2","High Quality",0.56268
"Calgary",2017,"2","High Quality",0.34661
"Spirit River No. 133",2017,"2","High Quality",0.72344
"Grande Prairie",2017,"2","High Quality",0.56162
"Parkland County",2017,"2","High Quality",0.64675
"Strathcona County",2017,"2","High Quality",0.53154
"Sturgeon County",2017,"2","High Quality",0.57731
"St. Albert",2017,"2","High Quality",0.53604
"Fort Mackay",2017,"2","High Quality",0.50097
"Grande Prairie County No. 1",2017,"2","High Quality",0.56162
"Cold Lake",2017,"2","High Quality",0.67605
"Bonnyville No. 87",2017,"2","High Quality",0.70966
"St. Paul County No. 19",2017,"2","High Quality",0.69148
"Wood Buffalo",2017,"2","High Quality",0.65299
"Bruderheim",2017,"2","High Quality",0.62469
"Improvement District No. 13 Elk Island",2017,"2","High Quality",0.59681
"Leduc County",2017,"2","High Quality",0.46437
"Beaverlodge",2017,"2","High Quality",0.67849
"Lamont County",2017,"2","High Quality",0.64094
"Yellowhead County",2017,"2","High Quality",0.55565
"Red Deer",2017,"3","High Quality",0.2626
"Fort Saskatchewan",2017,"3","High Quality",0.30113
"Edmonton",2017,"3","High Quality",0.43829
"Lethbridge",2017,"3","High Quality",0.31979
"Caroline",2017,"3","High Quality",0.22559
"Airdrie",2017,"3","High Quality",0.26095
"Medicine Hat",2017,"3","High Quality",0.32908
"Calgary",2017,"3","High Quality",0.51707
"Spirit River No. 133",2017,"3","High Quality",0.05892
"Grande Prairie",2017,"3","High Quality",0.29329
"Parkland County",2017,"3","High Quality",0.15774
"Strathcona County",2017,"3","High Quality",0.35089
"Sturgeon County",2017,"3","High Quality",0.26533
"St. Albert",2017,"3","High Quality",0.29591
"Fort Mackay",2017,"3","High Quality",0.16618
"Grande Prairie County No. 1",2017,"3","High Quality",0.29329
"Cold Lake",2017,"3","High Quality",0.09169
"Bonnyville No. 87",2017,"3","High Quality",0.21824
"St. Paul County No. 19",2017,"3","High Quality",0.11571
"Wood Buffalo",2017,"3","High Quality",0.15626
"Bruderheim",2017,"3","High Quality",0.13721
"Improvement District No. 13 Elk Island",2017,"3","High Quality",0.22255
"Leduc County",2017,"3","High Quality",0.08458
"Beaverlodge",2017,"3","High Quality",0.16093
"Lamont County",2017,"3","High Quality",0.23167
"Yellowhead County",2017,"3","High Quality",0.1958
"Red Deer",2017,"4","Moderate Quality",0.02788
"Fort Saskatchewan",2017,"4","Moderate Quality",0.06251
"Edmonton",2017,"4","Moderate Quality",0.1104
"Lethbridge",2017,"4","Moderate Quality",0.03876
"Caroline",2017,"4","Moderate Quality",0.02681
"Airdrie",2017,"4","Moderate Quality",0.04655
"Medicine Hat",2017,"4","Moderate Quality",0.04301
"Calgary",2017,"4","Moderate Quality",0.09202
"Spirit River No. 133",2017,"4","Moderate Quality",0.0021
"Grande Prairie",2017,"4","Moderate Quality",0.05538
"Parkland County",2017,"4","Moderate Quality",0.0091
"Strathcona County",2017,"4","Moderate Quality",0.03873
"Sturgeon County",2017,"4","Moderate Quality",0.04085
"St. Albert",2017,"4","Moderate Quality",0.06754
"Fort Mackay",2017,"4","Moderate Quality",0.0157
"Grande Prairie County No. 1",2017,"4","Moderate Quality",0.05538
"Cold Lake",2017,"4","Moderate Quality",0.00441
"Bonnyville No. 87",2017,"4","Moderate Quality",0.00539
"St. Paul County No. 19",2017,"4","Moderate Quality",0.0086
"Wood Buffalo",2017,"4","Moderate Quality",0.0071
"Bruderheim",2017,"4","Moderate Quality",0.02022
"Improvement District No. 13 Elk Island",2017,"4","Moderate Quality",0.01667
"Leduc County",2017,"4","Moderate Quality",0.00996
"Beaverlodge",2017,"4","Moderate Quality",0.01412
"Lamont County",2017,"4","Moderate Quality",0.01408
"Yellowhead County",2017,"4","Moderate Quality",0.02224
"Red Deer",2017,"5","Moderate Quality",0.00457
"Fort Saskatchewan",2017,"5","Moderate Quality",0.00685
"Edmonton",2017,"5","Moderate Quality",0.0105
"Lethbridge",2017,"5","Moderate Quality",0.01054
"Caroline",2017,"5","Moderate Quality",0.00866
"Airdrie",2017,"5","Moderate Quality",0.01321
"Medicine Hat",2017,"5","Moderate Quality",0.00567
"Calgary",2017,"5","Moderate Quality",0.02124
"Spirit River No. 133",2017,"5","Moderate Quality",0.00154
"Grande Prairie",2017,"5","Moderate Quality",0.01017
"Parkland County",2017,"5","Moderate Quality",0.00334
"Strathcona County",2017,"5","Moderate Quality",0.00468
"Sturgeon County",2017,"5","Moderate Quality",0.00509
"St. Albert",2017,"5","Moderate Quality",0.01223
"Fort Mackay",2017,"5","Moderate Quality",0.00313
"Grande Prairie County No. 1",2017,"5","Moderate Quality",0.01017
"Cold Lake",2017,"5","Moderate Quality",0.00024
"St. Paul County No. 19",2017,"5","Moderate Quality",4e-04
"Wood Buffalo",2017,"5","Moderate Quality",0.00065
"Bruderheim",2017,"5","Moderate Quality",0.0047
"Improvement District No. 13 Elk Island",2017,"5","Moderate Quality",0.00238
"Leduc County",2017,"5","Moderate Quality",0.00278
"Beaverlodge",2017,"5","Moderate Quality",0.0028
"Lamont County",2017,"5","Moderate Quality",0.00317
"Yellowhead County",2017,"5","Moderate Quality",0.00514
"Red Deer",2017,"6","Moderate Quality",0.00057
"Fort Saskatchewan",2017,"6","Moderate Quality",0.00038
"Edmonton",2017,"6","Moderate Quality",0.00343
"Lethbridge",2017,"6","Moderate Quality",0.00433
"Caroline",2017,"6","Moderate Quality",0.00246
"Airdrie",2017,"6","Moderate Quality",0.00499
"Medicine Hat",2017,"6","Moderate Quality",0.00201
"Calgary",2017,"6","Moderate Quality",0.00468
"Spirit River No. 133",2017,"6","Moderate Quality",0.00028
"Grande Prairie",2017,"6","Moderate Quality",0.00185
"Parkland County",2017,"6","Moderate Quality",0.00173
"Strathcona County",2017,"6","Moderate Quality",0.00103
"Sturgeon County",2017,"6","Moderate Quality",0.00024
"St. Albert",2017,"6","Moderate Quality",0.0021
"Fort Mackay",2017,"6","Moderate Quality",0.001
"Grande Prairie County No. 1",2017,"6","Moderate Quality",0.00185
"Cold Lake",2017,"6","Moderate Quality",0.00024
"Wood Buffalo",2017,"6","Moderate Quality",4e-05
"Bruderheim",2017,"6","Moderate Quality",0.00047
"Leduc County",2017,"6","Moderate Quality",0.00058
"Beaverlodge",2017,"6","Moderate Quality",0.00047
"Lamont County",2017,"6","Moderate Quality",0.00012
"Yellowhead County",2017,"6","Moderate Quality",0.00186
"Red Deer",2017,"7","Low Quality",0.00091
"Fort Saskatchewan",2017,"7","Low Quality",0.00025
"Edmonton",2017,"7","Low Quality",0.00091
"Lethbridge",2017,"7","Low Quality",0.0041
"Caroline",2017,"7","Low Quality",0.00164
"Airdrie",2017,"7","Low Quality",0.0029
"Medicine Hat",2017,"7","Low Quality",0.00177
"Calgary",2017,"7","Low Quality",0.00228
"Spirit River No. 133",2017,"7","Low Quality",7e-04
"Grande Prairie",2017,"7","Low Quality",0.00139
"Parkland County",2017,"7","Low Quality",0.00035
"Strathcona County",2017,"7","Low Quality",0.00069
"Sturgeon County",2017,"7","Low Quality",0.00107
"St. Albert",2017,"7","Low Quality",0.00058
"Fort Mackay",2017,"7","Low Quality",0.00148
"Grande Prairie County No. 1",2017,"7","Low Quality",0.00139
"Cold Lake",2017,"7","Low Quality",0.00036
"St. Paul County No. 19",2017,"7","Low Quality",0.00066
"Wood Buffalo",2017,"7","Low Quality",0.00043
"Bruderheim",2017,"7","Low Quality",0.00071
"Improvement District No. 13 Elk Island",2017,"7","Low Quality",0.00036
"Leduc County",2017,"7","Low Quality",0.00174
"Beaverlodge",2017,"7","Low Quality",0.00163
"Lamont County",2017,"7","Low Quality",7e-04
"Yellowhead County",2017,"7","Low Quality",0.00427
"Red Deer",2017,"8","Low Quality",0.00011
"Edmonton",2017,"8","Low Quality",0.00034
"Lethbridge",2017,"8","Low Quality",0.00222
"Caroline",2017,"8","Low Quality",0.00047
"Airdrie",2017,"8","Low Quality",0.00081
"Medicine Hat",2017,"8","Low Quality",0.0013
"Calgary",2017,"8","Low Quality",8e-04
"Spirit River No. 133",2017,"8","Low Quality",0.00056
"Grande Prairie",2017,"8","Low Quality",0.00012
"Parkland County",2017,"8","Low Quality",0.00012
"Strathcona County",2017,"8","Low Quality",0.00023
"Sturgeon County",2017,"8","Low Quality",0.00012
"St. Albert",2017,"8","Low Quality",0.00023
"Fort Mackay",2017,"8","Low Quality",0.00077
"Grande Prairie County No. 1",2017,"8","Low Quality",0.00012
"Cold Lake",2017,"8","Low Quality",0.00024
"St. Paul County No. 19",2017,"8","Low Quality",0.00013
"Wood Buffalo",2017,"8","Low Quality",0.00016
"Improvement District No. 13 Elk Island",2017,"8","Low Quality",0.00036
